Applicant,State,Vertical,Proposed Employment,Sector
TDK India Private Limited (EPCOS India Private Limited),Maharashtra,B8-Electromechanical Components and Mechanical Parts ,450,Components & accessories 
TDK India Private Limited (EPCOS India Private Limited),Haryana,A1-Telecom Products,2798,Mobile & Accessories
TDK India Private Limited (EPCOS India Private Limited),Maharashtra,B8-Electromechanical Components and Mechanical Parts ,413,Components & accessories 
TE Connectivity India Private Limited,Maharashtra,"A13-Automotive Electronics 
B8-Electromechanical Components and Mechanical Parts ",2061,Industrial ELectronics
TE Connectivity India Pvt Ltd,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,2061,Components & accessories 
Tecchren Batteries Private Limited,Andhra Pradesh,A13-Automotive Electronics,198,Automotive Electronics
Tejas Networks Limited,Karnataka,A1-Telecom Products,1000,IT & Telecom
TG Advait India Private Limited,Gujarat,A1-Telecom Products,85,IT & Telecom
Topband India Private Limited,Maharashtra,C-Electronic Manufaacturing Services,196,Electronic Manufacturing Services
Transsion India Private Limited (Ismartu India Private Limited),Uttar Pradesh,A1-Telecom Products,2965,Mobile & Accessories
UKB Electronics Private Limited,Rajasthan,B8-Electromechanical Components and Mechanical Parts ,175,Components & accessories 
UKB Eletronics Pvt Ltd,Goa/Maharastra/Tamilnadu/Uttar Pradesh,B9-Consummable & Accessories,470,Mobile & Accessories
United Telelinks Bangalore Limited,Andhra pradesh,A1-Telecom Products,1594,Mobile & Accessories
Valeo India Private Limited,Gujarat,A13-Automotive Electronics,274,Automotive Electronics
Varroc Engineering Limited,Maharashtra,A13-Automotive Electronics,37,Automotive Electronics
Velankini Electronics Pvt. Ltd,Karnataka,A1-Telecom Products,500,IT & Telecom
Vihaan Networks Limited (Shyam VNL),Haryana,A1-Telecom Products,588,IT & Telecom
Vikram Solar Limited,Tamil Nadu,"A6-Solar Photovoltaic including thin film, polysilicon etc",569,solar
Vikram Solar Pvt. Ltd.,West Bangal,"A6-Solar Photovoltaic including thin film, polysilicon etc",390,Solar
Vikram Solar Pvt. Ltd.,West Bangal,"A6-Solar Photovoltaic including thin film, polysilicon etc",614,Solar
Vindhya Telelinks Limited,Madhya Pradesh,A1-Telecom Products,139,IT & Telecom
Vishakha Metals Private Limited ,Gujarat,E-Raw material exclusively for electronic products,171,Solar
Vishakha Renewables Pvt Ltd.,Gujarat,B8-Electromechanical Components and Mechanical Parts ,60,Solar
Vishakha Solar Films(P) Ltd,Gujarat,B8-Electromechanical Components and Mechanical Parts ,35,Solar
Vishay Precesion Transducers India Pvt Ltd,Tamil Nadu,A10-Industrial Electronics Products,490,Industrial Electronics
Visteon Electronics India Private Limited,Tamil Nadu,A13-Automotive Electronics,500,Automotive Electronics
Vivo Mobile India Private Limited,Uttar Pradesh,A1-Telecom Products,3025,Mobile & Accessories
Voltbek Home Appliances Private Limited,Gujarat,A19-Consumer Appliances,1766,Consumer Appliances
VSUN Mobile Pvt Ltd,Haryana,C-Electronic Manufaacturing Services,1630,Electronic Manufacturing Services
Vvdn Technologies Private Limited,Haryana,C-Electronic Manufaacturing Services,150,Electronic Manufacturing Services
Wabco India Limited (European),Tamil Nadu,A13-Automotive Electronics,36,Automotive Electronics
West Coast Optilinks,Telangana,A1-Telecom Products,375,IT & Telecom
Westway India,uttar pradesh,A3-Consumer Electronics,200,Consumer Electronics
Whirlpool of India Limited ,Maharashtra,A19-Consumer Appliances,276,Consumer Appliances
Wipro GE Heathcare Private ltd. ,Karnataka,A4-Health and Medical Electronics ,7,Medical Electronics
Wistron Infocomm Manufacturing (India) Pvt Ltd,Karnataka,C-Electronic Manufaacturing Services,15567,Electronic Manufacturing Services
XIHI Technology Private Limited,Uttar Pradesh,B9-Consummable & Accessories,3000,Mobile & Accessories
XOR Tech Ltd,Delhi,B9-Consummable & Accessories,270,Mobile & Accessories
Yamaha Music India Pvt. Ltd.,Tamil Nadu,A3-Consumer Electronics,195,Consumer Electronics
